Positive Cases,Country Name,Death Count,Population
10977,Tajikistan,82,9101005
125337,Kuwait,773,4137000
114434,Oman,1208,4829000
346,Mongolia,0,3170000
24,Laos,0,7062000
5683,Syria,285,16910000
51496,Myanmar,1219,53710000
348,Bhutan,0,754394
41425,Afghanistan,1536,37160000
555,Taiwan,7,23780000
100392,Japan,1755,126500000
10424,Sri Lanka,19,21670000
470633,Iraq,10862,38430000
69306,Jordan,772,9956000
373154,Turkey,10177,82000000
11643,Maldives,37,515696
8137119,India,121641,1353000000
406945,Indonesia,13782,267700000
406364,Bangladesh,5905,8426000
64742,Palestine,552,4529000
131508,United Arab Emirates,490,9631000
604952,Iran,34478,81800000
132343,Qatar,232,2782000
148,Brunei Darussalam,3,"428,962"
79529,Lebanon,625,6849000
30899,Malaysia,249,31530000
313701,Israel,2514,8884000
66628,Uzbekistan,563,32960000
378933,Philippines,7185,106700000
3780,Thailand,59,69430000
2064,Yemen,600,28500000
346880,Saudi Arabia,5383,33700000
290,Cambodia,0,16250000
30,Timor Leste,0,1268000
26511,South Korea,464,51640000
168235,Nepal,920,28090000
332993,Pakistan,6806,212000000
1177,Vietnam,35,95540000
91299,China,4739,1393000000
81466,Bahrain,319,1569000
58878,Kyrgyzstan,1145,6316000
58003,Singapore,28,5639000
149699,Kazakhstan,2226,18280000
