Positive Cases,Country Name,Death Count,Population,Recovered
10977,Tajikistan,82,9101005,"10,283"
125337,Kuwait,773,4137000,"117,558"
114434,Oman,1208,4829000,"105,700"
346,Mongolia,0,3170000,313
24,Laos,0,7062000,22
5683,Syria,285,16910000,"1,976"
51496,Myanmar,1219,53710000,"34,189"
348,Bhutan,0,754394,319
41425,Afghanistan,1536,37160000,"34,321"
555,Taiwan,7,23780000,518
100392,Japan,1755,126500000,"92,960"
10424,Sri Lanka,19,21670000,"4,399"
470633,Iraq,10862,38430000,"399,655"
69306,Jordan,772,9956000,"8,399"
373154,Turkey,10177,82000000,"325,486"
11643,Maldives,37,515696,"10,779"
8137119,India,121641,1353000000,"7,542,246"
406945,Indonesia,13782,267700000,"341,942"
406364,Bangladesh,5905,8426000,"324,145"
64742,Palestine,552,4529000,"3,486"
131508,United Arab Emirates,490,9631000,"128,902"
604952,Iran,34478,81800000,"481,930"
132343,Qatar,232,2782000,"129,784"
148,Brunei Darussalam,3,"428,962",143
79529,Lebanon,625,6849000,"41,624"
30899,Malaysia,249,31530000,"22,220"
313701,Israel,2514,8884000,"301,241"
66628,Uzbekistan,563,32960000,"64,235"
378933,Philippines,7185,106700000,"348,760"
3780,Thailand,59,69430000,"3,592"
2064,Yemen,600,28500000,"1,366"
346880,Saudi Arabia,5383,33700000,"333,842"
290,Cambodia,0,16250000,283
30,Timor Leste,0,1268000,29
26511,South Korea,464,51640000,"24,357"
168235,Nepal,920,28090000,"134,842"
332993,Pakistan,6806,212000000,"314,555"
1177,Vietnam,35,95540000,"1,063"
91299,China,4739,1393000000,"81,004"
81466,Bahrain,319,1569000,"78,719"
58878,Kyrgyzstan,1145,6316000,"49,983"
58003,Singapore,28,5639000,"57,913"
149699,Kazakhstan,2226,18280000,"106,310"
